,año,dia,mes,Festividad
0,año,dia,mes,festividad
1,2010,1,Enero,Año Nuevo
2,2010,3,Enero,Domingo
3,2010,10,Enero,Domingo
4,2010,11,Enero,Reyes Magos
5,2010,17,Enero,Domingo
6,2010,24,Enero,Domingo
7,2010,31,Enero,Domingo
8,2010,7,Febrero,Domingo
9,2010,14,Febrero,Dia de San Valentin
10,2010,14,Febrero,Domingo
11,2010,21,Febrero,Domingo
12,2010,28,Febrero,Domingo
13,2010,7,Marzo,Domingo
14,2010,8,Marzo,Dia Internacional de la Mujer
15,2010,13,Marzo,Dia de los Amigos
16,2010,14,Marzo,Domingo
17,2010,19,Marzo,Dia del Hombre
18,2010,21,Marzo,Domingo
19,2010,22,Marzo,San Jose
20,2010,28,Marzo,Domingo de Ramos
21,2010,28,Marzo,Domingo
22,2010,1,Abril,Jueves Santo
23,2010,2,Abril,Viernes Santo
24,2010,4,Abril,Domingo de Pascua o Resurreccion
25,2010,4,Abril,Domingo
26,2010,11,Abril,Domingo
27,2010,18,Abril,Domingo
28,2010,22,Abril,Dia de la Tierra
29,2010,24,Abril,Dia del Niño
30,2010,25,Abril,Domingo
31,2010,1,Mayo,Dia del Trabajo
32,2010,2,Mayo,Domingo
33,2010,9,Mayo,Dia de la Madre
34,2010,9,Mayo,Domingo
35,2010,15,Mayo,Dia del Maestro
36,2010,16,Mayo,Domingo
37,2010,17,Mayo,Dia de la Ascension
38,2010,21,Mayo,Dia de la Afrocolombianidad
39,2010,23,Mayo,Domingo
40,2010,30,Mayo,Domingo
41,2010,1,Junio,Dia del Campesino
42,2010,5,Junio,Dia del Medio Ambiente
43,2010,6,Junio,Domingo
44,2010,7,Junio,Dia de Corpus Christi
45,2010,13,Junio,Domingo
46,2010,14,Junio,Dia del Sagrado Corazon de Jesus
47,2010,20,Junio,Dia del Padre
48,2010,20,Junio,Domingo
49,2010,27,Junio,Domingo
50,2010,4,Julio,Domingo
51,2010,5,Julio,Dia de San Pedro y San Pablo
52,2010,11,Julio,Domingo
53,2010,18,Julio,Domingo
54,2010,20,Julio,Dia de la independencia
55,2010,25,Julio,Domingo
56,2010,1,Agosto,Domingo
57,2010,7,Agosto,Batalla de Boyaca
58,2010,7,Agosto,Dia del Ejercito Nacional
59,2010,8,Agosto,Domingo
60,2010,15,Agosto,Domingo
61,2010,16,Agosto,Asuncion de la Virgen
62,2010,17,Agosto,Dia del Ingeniero
63,2010,21,Agosto,Festival Internacional de Cine de Santander
64,2010,22,Agosto,Dia del Adulto Mayor
65,2010,22,Agosto,Domingo
66,2010,24,Agosto,Festival Internacional del Piano de Santander la IUS
