,año,mes,festividad,nom_comuna,conducta,cantidad
0,2023,1,Año Nuevo,Norte,HURTO A ENTIDADES COMERCIALES,1.75
1,2023,1,Año Nuevo,Nor Oriental,HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO),1.0
2,2023,1,Año Nuevo,San Francisco,HURTO A MOTOCICLETAS,1.0
3,2023,1,Año Nuevo,Occidental,LESIONES PERSONALES,2.5
4,2023,1,Año Nuevo,García Rovira,VIOLENCIA INTRAFAMILIAR,3.0
5,2023,1,Año Nuevo,La Concordia,VIOLENCIA INTRAFAMILIAR,2.0
6,2023,1,Año Nuevo,La Ciudadela,LESIONES PERSONALES,9.0
7,2023,1,Año Nuevo,Sur Occidente,LESIONES PERSONALES,9.0
8,2023,1,Año Nuevo,La Pedregosa,LESIONES PERSONALES,9.0
9,2023,1,Año Nuevo,Provenza,LESIONES PERSONALES,2.0
10,2023,1,Año Nuevo,Sur,LESIONES PERSONALES,3.0
11,2023,1,Año Nuevo,Cabecera del Llano,LESIONES PERSONALES,1.0
12,2023,1,Año Nuevo,Oriental,HURTO A ENTIDADES COMERCIALES,2.0
13,2023,1,Año Nuevo,Morrorico,HURTO A ENTIDADES COMERCIALES,2.0
14,2023,1,Año Nuevo,Centro,VIOLENCIA INTRAFAMILIAR,1.0
15,2023,1,Año Nuevo,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1.0
16,2023,1,Año Nuevo,Mutis,VIOLENCIA INTRAFAMILIAR,1.0
17,2023,1,Domingo,Norte,HURTO A ENTIDADES COMERCIALES,3.6666666666666665
18,2023,1,Domingo,Nor Oriental,VIOLENCIA INTRAFAMILIAR,1.3333333333333333
19,2023,1,Domingo,San Francisco,VIOLENCIA INTRAFAMILIAR,4.5
20,2023,1,Domingo,Occidental,VIOLENCIA INTRAFAMILIAR,2.3333333333333335
21,2023,1,Domingo,García Rovira,HURTO A PERSONAS,6.0
22,2023,1,Domingo,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.25
23,2023,1,Domingo,La Ciudadela,HURTO A ENTIDADES COMERCIALES,2.0
24,2023,1,Domingo,Sur Occidente,VIOLENCIA INTRAFAMILIAR,2.5
25,2023,1,Domingo,La Pedregosa,LESIONES PERSONALES,3.0
26,2023,1,Domingo,Provenza,VIOLENCIA INTRAFAMILIAR,3.5
27,2023,1,Domingo,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.0
28,2023,1,Domingo,Cabecera del Llano,HURTO A PERSONAS,3.0
29,2023,1,Domingo,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.4
30,2023,1,Domingo,Morrorico,VIOLENCIA INTRAFAMILIAR,2.0
31,2023,1,Domingo,Centro,LESIONES PERSONALES,4.333333333333333
32,2023,1,Domingo,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1.0
33,2023,1,Domingo,Mutis,HURTO A ENTIDADES COMERCIALES,1.0
34,2023,1,Reyes Magos,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
35,2023,1,Reyes Magos,Nor Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.0
36,2023,1,Reyes Magos,San Francisco,VIOLENCIA INTRAFAMILIAR,3.0
37,2023,1,Reyes Magos,Occidental,HURTO A PERSONAS,1.0
38,2023,1,Reyes Magos,García Rovira,LESIONES PERSONALES,2.0
39,2023,1,Reyes Magos,La Concordia,HURTO A PERSONAS,1.0
40,2023,1,Reyes Magos,La Ciudadela,LESIONES PERSONALES,9.0
