,index,año,festividad,comuna,conducta,cantidad
0,1,2010,Asuncion de la Virgen,Centro,LESIONES PERSONALES,1
1,2,2010,Asuncion de la Virgen,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
2,3,2010,Asuncion de la Virgen,La Concordia,HURTO A PERSONAS,1
3,4,2010,Asuncion de la Virgen,Morrorico,VIOLENCIA INTRAFAMILIAR,1
4,5,2010,Asuncion de la Virgen,Mutis,LESIONES PERSONALES,3
5,6,2010,Asuncion de la Virgen,Mutis,VIOLENCIA INTRAFAMILIAR,1
6,7,2010,Asuncion de la Virgen,Nor Oriental,VIOLENCIA INTRAFAMILIAR,1
7,8,2010,Asuncion de la Virgen,Norte,VIOLENCIA INTRAFAMILIAR,1
8,9,2010,Asuncion de la Virgen,Oriental,HURTO A PERSONAS,1
9,10,2010,Asuncion de la Virgen,Oriental,HURTO A RESIDENCIAS,1
10,11,2010,Asuncion de la Virgen,Provenza,LESIONES PERSONALES,1
11,12,2010,Asuncion de la Virgen,Provenza,VIOLENCIA INTRAFAMILIAR,1
12,13,2010,Asuncion de la Virgen,San Francisco,HURTO A MOTOCICLETAS,2
13,14,2010,Asuncion de la Virgen,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
14,15,2010,Asuncion de la Virgen,San Francisco,VIOLENCIA INTRAFAMILIAR,1
15,16,2010,Asuncion de la Virgen,Sur,HURTO A PERSONAS,1
16,17,2010,Año Nuevo,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
17,18,2010,Año Nuevo,Cabecera del Llano,LESIONES PERSONALES,1
18,19,2010,Año Nuevo,Centro,HURTO A ENTIDADES COMERCIALES,2
19,20,2010,Año Nuevo,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
20,21,2010,Año Nuevo,García Rovira,LESIONES PERSONALES,2
21,22,2010,Año Nuevo,García Rovira,VIOLENCIA INTRAFAMILIAR,1
22,23,2010,Año Nuevo,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
23,24,2010,Año Nuevo,La Pedregosa,LESIONES PERSONALES,1
24,25,2010,Año Nuevo,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
25,26,2010,Año Nuevo,Morrorico,LESIONES PERSONALES,2
26,27,2010,Año Nuevo,Nor Oriental,HURTO A PERSONAS,1
27,28,2010,Año Nuevo,Nor Oriental,HURTO A RESIDENCIAS,1
28,29,2010,Año Nuevo,Nor Oriental,LESIONES PERSONALES,1
29,30,2010,Año Nuevo,Nor Oriental,VIOLENCIA INTRAFAMILIAR,1
30,31,2010,Año Nuevo,Norte,HURTO A ENTIDADES COMERCIALES,1
31,32,2010,Año Nuevo,Norte,HURTO A PERSONAS,1
32,33,2010,Año Nuevo,Occidental,HOMICIDIO,1
33,34,2010,Año Nuevo,Occidental,LESIONES PERSONALES,3
34,35,2010,Año Nuevo,Oriental,HURTO A PERSONAS,1
35,36,2010,Año Nuevo,Provenza,LESIONES PERSONALES,1
36,37,2010,Año Nuevo,San Francisco,HURTO A ENTIDADES COMERCIALES,1
37,38,2010,Año Nuevo,San Francisco,HURTO A PERSONAS,1
38,39,2010,Año Nuevo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
39,40,2010,Año Nuevo,San Francisco,LESIONES PERSONALES,1
40,41,2010,Año Nuevo,Sur,LESIONES PERSONALES,4
41,42,2010,Año Nuevo,Sur,VIOLENCIA INTRAFAMILIAR,1
42,43,2010,Año Viejo,Cabecera del Llano,HURTO A PERSONAS,3
43,44,2010,Año Viejo,Centro,HURTO A PERSONAS,1
44,45,2010,Año Viejo,García Rovira,LESIONES PERSONALES,1
45,46,2010,Año Viejo,La Concordia,LESIONES PERSONALES,1
46,47,2010,Año Viejo,La Pedregosa,HURTO A RESIDENCIAS,1
47,48,2010,Año Viejo,Mutis,HURTO A PERSONAS,1
48,49,2010,Año Viejo,Occidental,LESIONES PERSONALES,2
49,50,2010,Año Viejo,San Francisco,HURTO A MOTOCICLETAS,1
50,51,2010,Año Viejo,San Francisco,LESIONES PERSONALES,2
51,52,2010,Año Viejo,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
52,53,2010,Batalla de Boyaca,Cabecera del Llano,HURTO A PERSONAS,1
53,54,2010,Batalla de Boyaca,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
54,55,2010,Batalla de Boyaca,Cabecera del Llano,LESIONES PERSONALES,3
55,56,2010,Batalla de Boyaca,Centro,HURTO A ENTIDADES COMERCIALES,1
56,57,2010,Batalla de Boyaca,Centro,HURTO A PERSONAS,3
57,58,2010,Batalla de Boyaca,Centro,LESIONES PERSONALES,1
58,59,2010,Batalla de Boyaca,La Ciudadela,HURTO A PERSONAS,1
59,60,2010,Batalla de Boyaca,La Concordia,HURTO A PERSONAS,1
60,61,2010,Batalla de Boyaca,Lagos del Cacique,HURTO A PERSONAS,2
61,62,2010,Batalla de Boyaca,Morrorico,HURTO A PERSONAS,1
62,63,2010,Batalla de Boyaca,Nor Oriental,HOMICIDIO,1
63,64,2010,Batalla de Boyaca,Nor Oriental,LESIONES PERSONALES,2
64,65,2010,Batalla de Boyaca,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
65,66,2010,Batalla de Boyaca,Oriental,HURTO A PERSONAS,2
66,67,2010,Batalla de Boyaca,Oriental,HURTO A RESIDENCIAS,1
67,68,2010,Batalla de Boyaca,Provenza,VIOLENCIA INTRAFAMILIAR,1
68,69,2010,Batalla de Boyaca,San Francisco,HURTO A PERSONAS,2
69,70,2010,Batalla de Boyaca,San Francisco,VIOLENCIA INTRAFAMILIAR,1
70,71,2010,Dia Internacional de la Mujer,Cabecera del Llano,HURTO A PERSONAS,1
71,72,2010,Dia Internacional de la Mujer,Centro,HOMICIDIO,1
72,73,2010,Dia Internacional de la Mujer,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
73,74,2010,Dia Internacional de la Mujer,La Pedregosa,HURTO A PERSONAS,2
74,75,2010,Dia Internacional de la Mujer,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
75,76,2010,Dia Internacional de la Mujer,Mutis,LESIONES PERSONALES,1
76,77,2010,Dia Internacional de la Mujer,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
77,78,2010,Dia Internacional de la Mujer,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
78,79,2010,Dia Internacional de la Mujer,Oriental,HURTO A ENTIDADES COMERCIALES,1
79,80,2010,Dia Internacional de la Mujer,Oriental,HURTO A PERSONAS,1
80,81,2010,Dia Internacional de la Mujer,Oriental,LESIONES PERSONALES,1
81,82,2010,Dia Internacional de la Mujer,Provenza,VIOLENCIA INTRAFAMILIAR,1
82,83,2010,Dia Internacional de la Mujer,San Francisco,HURTO A MOTOCICLETAS,1
83,84,2010,Dia Internacional de la Mujer,San Francisco,HURTO A PERSONAS,1
84,85,2010,Dia Internacional de la Mujer,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
85,86,2010,Dia Internacional de la Mujer,San Francisco,VIOLENCIA INTRAFAMILIAR,1
86,87,2010,Dia de Amor y Amistad,Cabecera del Llano,HURTO A ENTIDADES COMERCIALES,1
87,88,2010,Dia de Amor y Amistad,Cabecera del Llano,HURTO A PERSONAS,3
88,89,2010,Dia de Amor y Amistad,Cabecera del Llano,HURTO A RESIDENCIAS,1
