,año,mes,festividad,comuna,conducta,cantidad
1,2010,Abril,Dia de la Tierra,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
2,2010,Abril,Dia de la Tierra,Centro,LESIONES PERSONALES,1
3,2010,Abril,Dia de la Tierra,García Rovira,HURTO A PERSONAS,3
4,2010,Abril,Dia de la Tierra,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
5,2010,Abril,Dia de la Tierra,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
6,2010,Abril,Dia de la Tierra,Lagos del Cacique,HURTO A PERSONAS,1
7,2010,Abril,Dia de la Tierra,Morrorico,VIOLENCIA INTRAFAMILIAR,1
8,2010,Abril,Dia de la Tierra,Mutis,HURTO A PERSONAS,1
9,2010,Abril,Dia de la Tierra,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
10,2010,Abril,Dia de la Tierra,Norte,LESIONES PERSONALES,2
11,2010,Abril,Dia de la Tierra,Norte,VIOLENCIA INTRAFAMILIAR,2
12,2010,Abril,Dia de la Tierra,Oriental,HURTO A PERSONAS,3
13,2010,Abril,Dia de la Tierra,San Francisco,HURTO A PERSONAS,1
14,2010,Abril,Dia de la Tierra,San Francisco,LESIONES PERSONALES,1
15,2010,Abril,Dia de la Tierra,Sur,LESIONES PERSONALES,1
16,2010,Abril,Dia del Niño,Cabecera del Llano,HURTO A PERSONAS,1
17,2010,Abril,Dia del Niño,Centro,LESIONES PERSONALES,1
18,2010,Abril,Dia del Niño,Centro,VIOLENCIA INTRAFAMILIAR,1
19,2010,Abril,Dia del Niño,García Rovira,VIOLENCIA INTRAFAMILIAR,1
20,2010,Abril,Dia del Niño,La Ciudadela,HURTO A PERSONAS,1
21,2010,Abril,Dia del Niño,La Concordia,HURTO A RESIDENCIAS,1
22,2010,Abril,Dia del Niño,La Concordia,LESIONES PERSONALES,1
23,2010,Abril,Dia del Niño,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
24,2010,Abril,Dia del Niño,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
25,2010,Abril,Dia del Niño,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
26,2010,Abril,Dia del Niño,Morrorico,LESIONES PERSONALES,1
27,2010,Abril,Dia del Niño,Morrorico,VIOLENCIA INTRAFAMILIAR,1
28,2010,Abril,Dia del Niño,Mutis,HURTO A PERSONAS,1
29,2010,Abril,Dia del Niño,Nor Oriental,LESIONES PERSONALES,2
