,año,mes,festividad,nom_comuna,conducta,cantidad
0,2010,Abril,Dia de la Tierra,Centro,LESIONES PERSONALES,1
1,2010,Abril,Dia de la Tierra,García Rovira,HURTO A PERSONAS,3
2,2010,Abril,Dia de la Tierra,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
3,2010,Abril,Dia de la Tierra,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
4,2010,Abril,Dia de la Tierra,Lagos del Cacique,HURTO A PERSONAS,1
5,2010,Abril,Dia de la Tierra,Morrorico,VIOLENCIA INTRAFAMILIAR,1
6,2010,Abril,Dia de la Tierra,Mutis,HURTO A PERSONAS,1
7,2010,Abril,Dia de la Tierra,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
8,2010,Abril,Dia de la Tierra,Norte,LESIONES PERSONALES,2
9,2010,Abril,Dia de la Tierra,Norte,VIOLENCIA INTRAFAMILIAR,2
10,2010,Abril,Dia de la Tierra,Oriental,HURTO A PERSONAS,3
11,2010,Abril,Dia de la Tierra,San Francisco,HURTO A PERSONAS,1
12,2010,Abril,Dia de la Tierra,San Francisco,LESIONES PERSONALES,1
13,2010,Abril,Dia de la Tierra,Sur,LESIONES PERSONALES,1
14,2010,Abril,Dia del Niño,Cabecera del Llano,HURTO A PERSONAS,1
15,2010,Abril,Dia del Niño,Centro,LESIONES PERSONALES,1
16,2010,Abril,Dia del Niño,Centro,VIOLENCIA INTRAFAMILIAR,1
17,2010,Abril,Dia del Niño,García Rovira,VIOLENCIA INTRAFAMILIAR,1
18,2010,Abril,Dia del Niño,La Ciudadela,HURTO A PERSONAS,1
19,2010,Abril,Dia del Niño,La Concordia,HURTO A RESIDENCIAS,1
20,2010,Abril,Dia del Niño,La Concordia,LESIONES PERSONALES,1
21,2010,Abril,Dia del Niño,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
22,2010,Abril,Dia del Niño,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
23,2010,Abril,Dia del Niño,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
24,2010,Abril,Dia del Niño,Morrorico,LESIONES PERSONALES,1
25,2010,Abril,Dia del Niño,Morrorico,VIOLENCIA INTRAFAMILIAR,1
26,2010,Abril,Dia del Niño,Mutis,HURTO A PERSONAS,1
27,2010,Abril,Dia del Niño,Nor Oriental,LESIONES PERSONALES,2
28,2010,Abril,Dia del Niño,Norte,VIOLENCIA INTRAFAMILIAR,1
29,2010,Abril,Dia del Niño,Occidental,LESIONES PERSONALES,1
30,2010,Abril,Dia del Niño,Occidental,VIOLENCIA INTRAFAMILIAR,1
31,2010,Abril,Dia del Niño,Oriental,HURTO A PERSONAS,3
32,2010,Abril,Dia del Niño,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
33,2010,Abril,Dia del Niño,San Francisco,HOMICIDIO,1
34,2010,Abril,Dia del Niño,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
35,2010,Abril,Dia del Niño,San Francisco,VIOLENCIA INTRAFAMILIAR,1
36,2010,Abril,Domingo,Cabecera del Llano,HURTO A PERSONAS,3
37,2010,Abril,Domingo,Cabecera del Llano,HURTO A RESIDENCIAS,1
38,2010,Abril,Domingo,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
39,2010,Abril,Domingo,Cabecera del Llano,LESIONES PERSONALES,1
40,2010,Abril,Domingo,Centro,HURTO A PERSONAS,1
41,2010,Abril,Domingo,Centro,LESIONES PERSONALES,2
42,2010,Abril,Domingo,García Rovira,HURTO A ENTIDADES COMERCIALES,1
43,2010,Abril,Domingo,García Rovira,LESIONES PERSONALES,3
44,2010,Abril,Domingo,García Rovira,VIOLENCIA INTRAFAMILIAR,1
45,2010,Abril,Domingo,La Ciudadela,HURTO A PERSONAS,1
46,2010,Abril,Domingo,La Concordia,HURTO A PERSONAS,3
47,2010,Abril,Domingo,La Pedregosa,HURTO A PERSONAS,5
48,2010,Abril,Domingo,La Pedregosa,LESIONES PERSONALES,2
49,2010,Abril,Domingo,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
50,2010,Abril,Domingo,Lagos del Cacique,HURTO A PERSONAS,3
51,2010,Abril,Domingo,Morrorico,HURTO A PERSONAS,2
52,2010,Abril,Domingo,Morrorico,LESIONES PERSONALES,2
53,2010,Abril,Domingo,Morrorico,VIOLENCIA INTRAFAMILIAR,1
54,2010,Abril,Domingo,Mutis,HURTO A PERSONAS,2
55,2010,Abril,Domingo,Mutis,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
56,2010,Abril,Domingo,Nor Oriental,HOMICIDIO,1
57,2010,Abril,Domingo,Nor Oriental,HURTO A PERSONAS,1
58,2010,Abril,Domingo,Nor Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
59,2010,Abril,Domingo,Norte,HURTO A AUTOMOTORES,1
60,2010,Abril,Domingo,Norte,HURTO A PERSONAS,3
61,2010,Abril,Domingo,Norte,HURTO A RESIDENCIAS,1
62,2010,Abril,Domingo,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
63,2010,Abril,Domingo,Norte,LESIONES PERSONALES,9
64,2010,Abril,Domingo,Norte,VIOLENCIA INTRAFAMILIAR,3
65,2010,Abril,Domingo,Occidental,HURTO A RESIDENCIAS,1
66,2010,Abril,Domingo,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
67,2010,Abril,Domingo,Occidental,VIOLENCIA INTRAFAMILIAR,3
68,2010,Abril,Domingo,Oriental,HURTO A PERSONAS,4
69,2010,Abril,Domingo,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
70,2010,Abril,Domingo,Oriental,LESIONES PERSONALES,1
71,2010,Abril,Domingo,Oriental,VIOLENCIA INTRAFAMILIAR,1
72,2010,Abril,Domingo,Provenza,LESIONES PERSONALES,1
73,2010,Abril,Domingo,San Francisco,HURTO A ENTIDADES COMERCIALES,2
74,2010,Abril,Domingo,San Francisco,HURTO A MOTOCICLETAS,1
75,2010,Abril,Domingo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
